,mean,std,min,max
Frustrated,2.0224358974358974,1.9861602736268786,0.0,8.0
upset,1.3461538461538463,0.6175758662154661,1.0,4.0
hostile,1.0576923076923077,0.27171918110643684,1.0,3.0
alert,2.1923076923076925,1.0370337653244244,1.0,5.0
ashamed,1.2211538461538463,0.549013686261282,1.0,4.0
inspired,2.1838709677419357,1.0279576553660164,1.0,5.0
nervous,1.3814102564102564,0.5771985216537642,1.0,3.0
attentive,2.784565916398714,1.1137931649051358,1.0,5.0
afraid,1.0514469453376205,0.27343011653388827,1.0,4.0
active,2.553054662379421,1.1734627529181558,1.0,5.0
determined,2.912903225806452,1.1040501886614627,1.0,5.0
