,Individual,Phase,Round,Puzzler,Cohort
Frustrated,0.2698739468356084,0.19835673698648038,0.01720854287766965,0.001904513095160343,0.19258659351664378
upset,0.20190229139645485,0.14413099870298315,0.015780371811500202,0.0009727626459144011,0.05738173728202914
hostile,0.12171970965940812,0.022613065326633233,0.006141820212171927,0.013958682300390839,0.02841755071654572
alert,0.5046764796074823,0.12287258509659618,0.02230910763569455,3.833180006133327e-05,0.08012384365736482
ashamed,0.2648134851437754,0.058057236639655264,0.021711628543098438,0.000854788525318842,0.03838285408190012
inspired,0.5334120390037639,0.036972219278030086,0.000644159455078142,0.002980122856433104,0.1772872114461153
nervous,0.3412936554582858,0.029944009651374986,0.07086955176787203,0.01933368391746834,0.041933471504727746
attentive,0.4182736647410561,0.1395026746174078,0.011829181131020581,0.005316259948380467,0.11415957431203429
afraid,0.2449361820199779,0.007888194098499814,0.014275518229458306,0.0005267616902091152,0.02580051364306062
active,0.4459908710631832,0.19282511800742827,0.002672132148321908,0.01293983819336763,0.18807660317427594
determined,0.32343860665389257,0.10497855647230561,0.007770135158561092,0.0006937247882426504,0.12262068271322578
